player_name,market_key,market_description,bookmaker,outcome,odds_decimal,prop_line,description,projection_type,projection,edge,implied_prob
Shai Gilgeous-Alexander,player_points_alternate,Alternate Points (Over/Under),FanDuel,Over,1.02,19.5,Shai Gilgeous-Alexander,PTS,32.2,12.700000000000003,0.9803921568627451
Pascal Siakam,player_points_alternate,Alternate Points (Over/Under),FanDuel,Over,1.02,9.5,Pascal Siakam,PTS,20.5,11.0,0.9803921568627451
Shai Gilgeous-Alexander,player_threes,Player Three-Pointers Made (Over/Under),FanDuel,Over,1.87,1.5,Shai Gilgeous-Alexander,FG,11.0,9.5,0.53475935828877
Shai Gilgeous-Alexander,player_points_alternate,Alternate Points (Over/Under),FanDuel,Over,1.08,23.5,Shai Gilgeous-Alexander,PTS,32.2,8.700000000000003,0.9259259259259258
Bennedict Mathurin,player_points_alternate,Alternate Points (Over/Under),FanDuel,Over,1.07,4.5,Bennedict Mathurin,PTS,12.5,8.0,0.9345794392523364
Pascal Siakam,player_points_alternate,Alternate Points (Over/Under),FanDuel,Over,1.07,12.5,Pascal Siakam,PTS,20.5,8.0,0.9345794392523364
Shai Gilgeous-Alexander,player_points_alternate,Alternate Points (Over/Under),FanDuel,Over,1.12,24.5,Shai Gilgeous-Alexander,PTS,32.2,7.700000000000003,0.8928571428571428
Shai Gilgeous-Alexander,player_points_alternate,Alternate Points (Over/Under),FanDuel,Over,1.11,24.5,Shai Gilgeous-Alexander,PTS,32.2,7.700000000000003,0.9009009009009008
Myles Turner,player_points_alternate,Alternate Points (Over/Under),FanDuel,Over,1.13,7.5,Myles Turner,PTS,15.0,7.5,0.8849557522123894
Bennedict Mathurin,player_points_alternate,Alternate Points (Over/Under),FanDuel,Over,1.11,5.5,Bennedict Mathurin,PTS,12.5,7.0,0.9009009009009008
Pascal Siakam,player_points_alternate,Alternate Points (Over/Under),FanDuel,Over,1.12,13.5,Pascal Siakam,PTS,20.5,7.0,0.8928571428571428
Aaron Nesmith,player_points_alternate,Alternate Points (Over/Under),FanDuel,Over,1.13,5.5,Aaron Nesmith,PTS,12.4,6.9,0.8849557522123894
Shai Gilgeous-Alexander,player_points_alternate,Alternate Points (Over/Under),FanDuel,Over,1.15,25.5,Shai Gilgeous-Alexander,PTS,32.2,6.700000000000003,0.8695652173913044
T.J. McConnell,player_points_alternate,Alternate Points (Over/Under),FanDuel,Over,1.11,4.5,T.J. McConnell,PTS,11.1,6.6,0.9009009009009008
Myles Turner,player_points_alternate,Alternate Points (Over/Under),FanDuel,Over,1.2,8.5,Myles Turner,PTS,15.0,6.5,0.8333333333333334
Jalen Williams,player_points_alternate,Alternate Points (Over/Under),FanDuel,Over,1.09,14.5,Jalen Williams,PTS,21.0,6.5,0.9174311926605504
Jalen Williams,player_threes,Player Three-Pointers Made (Over/Under),FanDuel,Over,1.93,1.5,Jalen Williams,FG,7.9,6.4,0.5181347150259068
